"filename", "language", "Makefile", "C++", "C", "comment", "blank", "total"
"c:\VSC\quaternion\c\Makefile", "Makefile", 16, 0, 0, 10, 9, 35
"c:\VSC\quaternion\c\f32\math_util.h", "C++", 0, 13, 0, 0, 6, 19
"c:\VSC\quaternion\c\f32\matrix.c", "C", 0, 0, 40, 2, 7, 49
"c:\VSC\quaternion\c\f32\matrix.h", "C++", 0, 157, 0, 5, 33, 195
"c:\VSC\quaternion\c\f32\number_spring.h", "C++", 0, 0, 0, 0, 1, 1
"c:\VSC\quaternion\c\f32\quaternion.c", "C", 0, 0, 524, 12, 282, 818
"c:\VSC\quaternion\c\f32\quaternion.h", "C", 0, 0, 337, 6, 101, 444
"c:\VSC\quaternion\c\f32\quaternion_spring.h", "C++", 0, 0, 0, 0, 1, 1
"c:\VSC\quaternion\c\f32\radian_spring.h", "C++", 0, 0, 0, 0, 1, 1
"c:\VSC\quaternion\c\f32\types.h", "C++", 0, 15, 0, 0, 6, 21
"c:\VSC\quaternion\c\f32\vector2.h", "C++", 0, 0, 0, 0, 1, 1
"c:\VSC\quaternion\c\f32\vector2_spring.h", "C++", 0, 0, 0, 0, 1, 1
"c:\VSC\quaternion\c\f32\vector3.c", "C", 0, 0, 56, 0, 17, 73
"c:\VSC\quaternion\c\f32\vector3.h", "C++", 0, 38, 0, 0, 14, 52
"c:\VSC\quaternion\c\f32\vector3_spring.h", "C++", 0, 0, 0, 0, 1, 1
"c:\VSC\quaternion\c\main.c", "C", 0, 0, 23, 57, 14, 94
"Total", "-", 16, 223, 980, 92, 495, 1806
